Title,Bedrooms,Bathrooms,Floor_no,Occupancy_status,Floor_area,Price_in_taka,Location,City_cumilla,City_dhaka,City_gazipur,City_narayanganj-city
2380 Sq Ft Apartment For sale At Bashundhara R-A Nearby Playpen School Junior Section,3.0,4.0,4.0,1.0,2380.0,21500000.0,"Block D, Bashundhara R-A",False,True,False,False
"Set Up Your New Office In The Busiest Location Of West Rampura, An Open Space Is Prepared To Be Sale Nearby Rajdhani Ideal School &amp; College",3.0,3.0,5.0,1.0,2600.0,31200000.0,"West Rampura, Rampura",False,True,False,False
We Bring You A Beautiful And Distinct Flat Of 2000 Sq Ft For Sale In Baitul Aman Housing Society,4.0,4.0,4.0,1.0,2000.0,14800000.0,"Baitul Aman Housing Society, Adabor",False,True,False,False
Buy This 1600 Sq Ft Beautiful Apartment In Uttara-12,3.0,3.0,2.0,1.0,1600.0,14000000.0,"Sector 12, Uttara",False,True,False,False
Ready Flat Is Now For Sale In Mirpur Dohs Nearby Mirpur Dohs Central Mosque,4.0,4.0,3.0,1.0,2200.0,25000000.0,"Mirpur DOHS, Mirpur",False,True,False,False
3474 Square Feet Spacious Apartment For Sale In Uttara-3,4.0,4.0,8.0,1.0,3474.0,45000000.0,"Sector 3, Uttara",False,True,False,False
"1550 Sq Ft Nice Flat For Sale In Aftab Nagar, Block C",3.0,4.0,9.0,1.0,1550.0,15000000.0,"Block C, Aftab Nagar",False,True,False,False
850 Sq Ft Flat For Sale In South Badda,2.0,2.0,1.0,1.0,850.0,5000000.0,"South Badda, Badda",False,True,False,False
A Office Space Is Available For Sale Which Is Located On Uttara Nearby Zam Zam Tower.,3.0,3.0,6.0,1.0,2075.0,29050000.0,"Sector 13, Uttara",False,True,False,False
Nearly Finished 1380 Sq Ft Flat For Sale In Aftab Nagar,3.0,3.0,3.0,1.0,1380.0,9500000.0,"Block E, Aftab Nagar",False,True,False,False
"You Can Buy This Lovely Apartment Of 1350 Sq Ft For Live A Relaxed Life At Banasree, Block C",3.0,3.0,8.0,1.0,1350.0,11300000.0,"Block C, Banasree",False,True,False,False
1470 Sq Ft Flat Is For Sale In Mansurabad Housing Society Nearby Baitur Rahman Jame Mosque,3.0,3.0,2.0,1.0,1470.0,7000000.0,"Mansurabad Housing Society, Adabor",False,True,False,False
We are offering you a very spacious 1090 SQ FT flat for Sale in Mirpur near to Holy Crescent School,3.0,2.0,1.0,1.0,1090.0,5500000.0,"West Shewrapara, Mirpur",False,True,False,False
"1220 Sq Ft Flat For Sale In Banasree, Block G",3.0,2.0,7.0,1.0,1220.0,8000000.0,"Block G, Banasree",False,True,False,False
"Live Permanently In A 1550 Sq Ft Property, Which Is Up For Sale Located At Uttar Badda",3.0,3.0,2.0,1.0,1550.0,14500000.0,"Uttar Badda, Badda",False,True,False,False
Ideal 8.08 Katha Plot For Sale In Gulshan 1,3.0,3.0,4.0,1.0,5824.0,300000000.0,"Gulshan 1, Gulshan",False,True,False,False
Reasonable 1654 Sq Ft Apartment For Sale In Uttara 18,3.0,4.0,5.0,1.0,1654.0,12500000.0,"Sector 18, Uttara",False,True,False,False
Flat Is Ready For Sale In East Kazipara Near To Bank Asia Agent Banking,3.0,2.0,2.0,1.0,975.0,4000000.0,"East Kazipara, Mirpur",False,True,False,False
740 Square Feet Residential Flat Is Ready To Sale At Middle Pirerbag,2.0,2.0,4.0,1.0,740.0,3500000.0,"Pirerbag, Mirpur",False,True,False,False
"1370 Sq Ft Apartment Is Available For Sale In Middle Badda, Adarsha Nagar",3.0,3.0,5.0,1.0,1370.0,9200000.0,"Middle Badda, Badda",False,True,False,False
"950 Sq Ft Apartment For Sale In Dakshin Khan, Near Islami Bank Bd Ltd.",3.0,2.0,2.0,1.0,950.0,4000000.0,"Moushair, Dakshin Khan",False,True,False,False
"A 1,365 Sq Ft Flat Is Up For Sale In A Well Secured Location Of Uttar Badda",3.0,3.0,3.0,1.0,1365.0,8540000.0,"Uttar Badda, Badda",False,True,False,False
Favorable 1128 SFT 3 Bedroom Flat For Sale In Badda,3.0,3.0,3.0,1.0,1128.0,7118000.0,"Uttar Badda, Badda",False,True,False,False
We Are Offering You A Very Spacious 1960 Sq Ft Flat For Sale In Gulshan 1,3.0,4.0,3.0,1.0,1960.0,39000000.0,"Gulshan 1, Gulshan",False,True,False,False
Valuable 1705 Square Feet Apartment Is Ready To Sale In Kalabagan,3.0,3.0,1.0,1.0,1705.0,16900000.0,"Lake Circus Road, Kalabagan",False,True,False,False
1370 square feet apartment is ready to sale in Shukrabad,3.0,3.0,6.0,1.0,1370.0,12500000.0,"Shukrabad, Dhanmondi",False,True,False,False
"2125 Square Feet Apartment For Sale In Bashundhara R-a, Block L",3.0,3.0,4.0,1.0,2125.0,20000000.0,"Block L, Bashundhara R-A",False,True,False,False
Buy This 2687 Square Feet Flat In The Nice Area Of Banani,3.0,3.0,4.0,1.0,2687.0,47500000.0,"Road No 25, Banani",False,True,False,False
Modern 1150 Sq Ft Flat For Sale In Badda,3.0,3.0,3.0,1.0,1150.0,8800000.0,"Middle Badda, Badda",False,True,False,False
"2119 Sq Ft Apartment For Sale In Bashundhara R-a, Near North South University",3.0,3.0,8.0,1.0,2119.0,19000000.0,"Block B, Bashundhara R-A",False,True,False,False
Live A Restful Life In This 2318 Square Feet Flat For Sale In Bashundhara R-a,4.0,4.0,2.0,1.0,2318.0,23000000.0,"Block D, Bashundhara R-A",False,True,False,False
Worthy 1397 Sq Ft Nice Flat Is Ready For Sale At Demra,3.0,3.0,8.0,1.0,1397.0,8000000.0,"Matuail, Demra",False,True,False,False
Offering You 2400 Sq Ft Flat For Sale In Aftab Nagar,3.0,3.0,1.0,1.0,2400.0,20000000.0,"Block H, Aftab Nagar",False,True,False,False
1300 Square Feet Residential Flat With Nicely Built Rooms Is Up For Sale In Shyampur,3.0,3.0,3.0,1.0,1300.0,8000000.0,"West Dolairpar, Shyampur",False,True,False,False
Nice 1300 Sq Ft Flat Is Available For Sale In Shyampur,3.0,3.0,4.0,1.0,1300.0,8000000.0,"West Dolairpar, Shyampur",False,True,False,False
1300 Sq Ft Flat Is Now Vacant For Sale In Shyampur,3.0,3.0,6.0,1.0,1300.0,8000000.0,"West Dolairpar, Shyampur",False,True,False,False
1900 Sq Ft Residential Duplex Property Is Now For Sale Which Is In Bashundhara R-a,3.0,3.0,1.0,1.0,1900.0,21000000.0,"Block B, Bashundhara R-A",False,True,False,False
Property In Aftab Nagar– 1500 Sq Ft Flat For Sale,3.0,3.0,5.0,1.0,1500.0,11000000.0,"Block H, Aftab Nagar",False,True,False,False
Uttara Is Offering You A 1450 Sq Ft Residential Apartment Up For Sale,3.0,3.0,3.0,1.0,1450.0,9500000.0,"Sector 10, Uttara",False,True,False,False
Offering you 750 SQ FT flat for sale in Uttara 10,2.0,2.0,2.0,1.0,750.0,6200000.0,"Sector 10, Uttara",False,True,False,False
Visit This 2343 Sq Ft Flat For Sale In Uttara Sector 6.,3.0,3.0,4.0,1.0,2343.0,22000000.0,"Sector 6, Uttara",False,True,False,False
Vacant Now | 1185 Sq Ft | Three Bedrooms Apt. | Ready To Move,3.0,3.0,5.0,1.0,1185.0,11000000.0,"Lake Circus Road, Kalabagan",False,True,False,False
"In A Great Location Of Bashundhara R-a, Block H, 1610 Sq Ft Apartment Is Up For Sale",3.0,3.0,4.0,1.0,1610.0,13100000.0,"Block H, Bashundhara R-A",False,True,False,False
"You can buy this lovely apartment of 2180 sq ft to live a relaxed life at Bashundhara R-A, Block J",4.0,4.0,7.0,1.0,2180.0,17500000.0,"Block J, Bashundhara R-A",False,True,False,False
"Wonderful Flat Covering An Area Of 3,650 Sq Ft Is Available For Sale In Gulshan 2",4.0,4.0,2.0,1.0,3650.0,78000000.0,"Gulshan 2, Gulshan",False,True,False,False
"Large 5000 Sq Ft Commercial Space For Sale In Free School Street Road, Kathalbagan",3.0,3.0,9.0,1.0,5000.0,110000000.0,"Free School Street, Kathalbagan",False,True,False,False
2700 Square Feet Apartment For Sale In Gulshan 1,3.0,3.0,3.0,1.0,2700.0,55000000.0,"Gulshan 1, Gulshan",False,True,False,False
Strongly Constructed 1175 Sq Ft Home Is Available To Sale In Baitul Aman Housing Society,3.0,2.0,2.0,1.0,1175.0,8300000.0,"Baitul Aman Housing Society, Adabor",False,True,False,False
Flat For Sale In Mirpur Section 6 Near Mosque,2.0,2.0,1.0,1.0,650.0,3100000.0,"Section 6, Mirpur",False,True,False,False
"1331 Sq Ft Apartment Is Now Available For Sale In Sector 4, Uttara",3.0,4.0,1.0,1.0,1331.0,16000000.0,"Sector 4, Uttara",False,True,False,False
"2 Bedrooms Apartment For Sale In Nobodoy Housing Society, Mohammadpur",2.0,2.0,4.0,1.0,900.0,4500000.0,"Nobodoy Housing Society, Mohammadpur",False,True,False,False
"1350 Sq Ft Flat Sale In Free School Street Road, Kathalbagan",3.0,3.0,2.0,1.0,1350.0,14200000.0,"Free School Street, Kathalbagan",False,True,False,False
Comfortable Flat Is Up For Sale In Pallabi Nearby City Club Ground,3.0,3.0,5.0,1.0,1200.0,7500000.0,"Pallabi, Mirpur",False,True,False,False
"Picture Yourself, Residing In This Well Constructed And Planned 2045 Sq Ft Apartment In Uttara-7, For Sale",3.0,3.0,1.0,1.0,2045.0,23625000.0,"Sector 7, Uttara",False,True,False,False
Offering 1500 Sq Ft Flat For Sale In Niketan,3.0,3.0,1.0,1.0,1500.0,25000000.0,"Block C, Niketan",False,True,False,False
Pleasant 1410 Sq Ft Residential Apartment For Sale In Shantinagar,3.0,3.0,4.0,1.0,1410.0,13800000.0,"Vashani Goli, Shantinagar",False,True,False,False
A Standard Lifestyle Is Awaiting You In This 650 Square Feet Flat Up For Sale In Sutrapur,2.0,2.0,5.0,1.0,650.0,4000000.0,"Gandaria, Sutrapur",False,True,False,False
An Apartment For Sale Is All Set For You To Settle In Mohammadpur Close To Dhaka Udyan Government College,3.0,3.0,4.0,1.0,1100.0,4700000.0,"Dhaka Uddan, Mohammadpur",False,True,False,False
A Flat With All Facilities Is Up For Sale At West Shewrapara Near Baitul Arafa Masjid,3.0,2.0,2.0,1.0,1220.0,5000000.0,"West Shewrapara, Mirpur",False,True,False,False
1240 Square Feet Flat For Sale In The Location Of Shah Ali Bag,3.0,3.0,5.0,1.0,1240.0,7320000.0,"Section 1, Mirpur",False,True,False,False
1700 Sq.Ft. Apartment For Sale In Dakshin Khan Close To Nogoriabari Mohammadia Jame Masjid,3.0,3.0,5.0,1.0,1700.0,6500000.0,"South Chalabon, Dakshin Khan",False,True,False,False
Flat For Sale Covering A Beautiful Area In West Agargaon Nearby Momataj Memorial High School,3.0,3.0,1.0,1.0,1400.0,8500000.0,"West Agargaon, Agargaon",False,True,False,False
Residential Apartment Is For Sale In Mirpur Nearby Baitul Jannah Jame Masjid And Madrasha Complex,3.0,3.0,1.0,1.0,1050.0,4700000.0,"Section 6, Mirpur",False,True,False,False
A Commercial Building Is Up For Sale Which Is Located In Mirpur Nearby Mirpur Adhunik Hospital,3.0,3.0,6.0,1.0,16000.0,120000000.0,"Section 12, Mirpur",False,True,False,False
Nice 1240 Sq Ft Flat Is Available For Sale In Dakkhin Paikpara,3.0,3.0,8.0,1.0,1240.0,8700000.0,"Dakkhin Paikpara, Mirpur",False,True,False,False
1504 Sq Ft Flat Is For Sale In The Thriving Arena Of Keraniganj,3.0,3.0,1.0,1.0,1504.0,7100000.0,Keraniganj,False,True,False,False
Find 750 Sq Ft Flat Available For Sale In Kadamtali,2.0,2.0,5.0,1.0,750.0,4000000.0,"Kadamtali, Shyampur",False,True,False,False
"Buy This Nice 750 Sq Ft Flat In Kadamtali, To Fulfill Your Wish",2.0,2.0,7.0,1.0,750.0,3500000.0,"Kadamtali, Shyampur",False,True,False,False
2.75 Katha Residential Plot For Sale In Mirpur-11,3.0,3.0,4.0,1.0,1980.0,18000000.0,"Section 11, Mirpur",False,True,False,False
Worthy 1585 SQ FT residence is for sale at Aftab Nagar,3.0,5.0,2.0,1.0,1585.0,14000000.0,"Block C, Aftab Nagar",False,True,False,False
1485 Sq ft Apartment with 3 bedrooms For Sale in Mohammadpur,3.0,3.0,8.0,1.0,1485.0,13200000.0,"Jahuri Moholla, Mohammadpur",False,True,False,False
"1545 Sq Ft Flat With 3 Modest Bedrooms For Sale In Mirpur-2, Block C",3.0,3.0,5.0,1.0,1545.0,14000000.0,"Section 2, Mirpur",False,True,False,False
Completely suitable and ready flat of 1050 SQ FT for Sale in Kallyanpur,3.0,3.0,6.0,1.0,1050.0,8200000.0,"Kallyanpur, Mirpur",False,True,False,False
A Residential Building Of 5600 Sq Ft With 2.5 Katha Land Is Available For Sale In East Shewrapara,16.0,10.0,4.0,1.0,5600.0,32500000.0,"East Shewrapara, Mirpur",False,True,False,False
"Near Rampura Thana, 900 Sq.ft And 2 Bedroom Flat For Sale In West Rampura",2.0,2.0,5.0,1.0,900.0,4100000.0,"West Rampura, Rampura",False,True,False,False
1340 Sq.ft Apartment Is For Sale Close To Muslim para Jame Masjid At Madhya Ajampur,3.0,3.0,3.0,1.0,1340.0,6200000.0,"Madhya Ajampur, Dakshin Khan",False,True,False,False
"1400 Sq Ft Flat With 3 Bedrooms Is Up For Sale In Mohammadpur, Mohammadia Housing Society",3.0,3.0,7.0,1.0,1400.0,11500000.0,"Mohammadia Housing Society, Mohammadpur",False,True,False,False
A Nicely Build 1275 Sq Ft And 3 Bedroom Apartment Is Vacant For Sale In Uttar Badda .,3.0,3.0,3.0,1.0,1275.0,8000000.0,"Uttar Badda, Badda",False,True,False,False
"Spacious Office Space Of 1245 Sq Ft Is Waiting For sale In Block C, Niketan",3.0,3.0,3.0,1.0,1245.0,15500000.0,"Block C, Niketan",False,True,False,False
"An Apartment Is Up For Sale In Ibrahimpur, Near Ibrahimpur Central Jame Masjid.",2.0,2.0,5.0,1.0,1050.0,4800000.0,"North Ibrahimpur, Ibrahimpur",False,True,False,False
A Decent Apartment In Mohakhali Near Jabala ICDDRB Is Up For Sale,2.0,2.0,5.0,1.0,850.0,5500000.0,"Dakhshin Para, Mohakhali",False,True,False,False
Flat For Sale In West Agargaon Nearby Bangladesh Public Service Commission,3.0,4.0,2.0,1.0,1440.0,7300000.0,"West Agargaon, Agargaon",False,True,False,False
"You Can Move Into This Well Planned And Comfortable Residential Flat In Uttara Sector 11 For Sale , Of 948 Sq Ft, Near Shaheed Monsur Ali Medical College And Hospital",2.0,3.0,5.0,1.0,948.0,7000000.0,"Sector 11, Uttara",False,True,False,False
Stunning 2644 Square Feet Apartment For Sale In Gulshan 1,4.0,4.0,5.0,1.0,2644.0,35000000.0,"Gulshan 1, Gulshan",False,True,False,False
Convenient 800 Square Feet Apartment For Sale In Dhanmondi,2.0,2.0,6.0,1.0,800.0,6950000.0,"North Circular Road, Dhanmondi",False,True,False,False
A 2000 Sq Ft Flat Is Up For Sale In A Well Secured Location Of Bashundhara R-a,4.0,4.0,5.0,1.0,2000.0,22000000.0,"Block B, Bashundhara R-A",False,True,False,False
"1593 Sq Ft Nicely Planned Apartment Is Available For Sale In Lalmatia, Block B",3.0,3.0,4.0,1.0,1593.0,21500000.0,"Block B, Lalmatia",False,True,False,False
A 1220 Sq Ft Home Is Available To Sale In West Shewrapara,3.0,2.0,6.0,1.0,1220.0,5000000.0,"West Shewrapara, Mirpur",False,True,False,False
1040 Sq Ft Properly Developed Flat For Sale In Rajanigandha Residential Area,2.0,2.0,1.0,1.0,1040.0,6500000.0,"Section 15, Mirpur",False,True,False,False
"A 1620 Sq Ft Residential Apartment For Sale, In Block C, Khilgaon",3.0,3.0,4.0,1.0,1620.0,16500000.0,"Block C, Khilgaon",False,True,False,False
Flat For Sale Covering A Beautiful Area In Bashundhara R-a Nearby Basundhara Residential Area Puja Mondop.,3.0,3.0,4.0,1.0,1550.0,14500000.0,"Block I, Bashundhara R-A",False,True,False,False
"1000 Sq Ft Apartment For Sale In Pallabi, Mirpur",2.0,2.0,5.0,1.0,1000.0,5500000.0,"Pallabi, Mirpur",False,True,False,False
"We Offer You An Excellent And Spacious Commercial Space Of 1840 Sq Ft At Tejgaon, For Sale",3.0,3.0,3.0,1.0,1840.0,46000000.0,"Hatir Jheel Link Road, Tejgaon",False,True,False,False
A Standard Apartment In Mirpur Near To M.A Zabbar Memorial High School Is Up For Sale,2.0,2.0,2.0,1.0,740.0,4000000.0,"Pirerbag, Mirpur",False,True,False,False
An Attractively Designed 1250 Sq Ft Apartment For Sale In Mirpur Section 10,3.0,3.0,6.0,1.0,1250.0,7800000.0,"Section 10, Mirpur",False,True,False,False
"Buy This Modest 1430 Sq Ft Flat In Bashundhara R-a, Block J",3.0,3.0,5.0,1.0,1430.0,12000000.0,"Block J, Bashundhara R-A",False,True,False,False
Celebrate Life Each Day In Your New Apartment Of 1690 Sq Ft At Boro Maghbazar With Your Beloved Family,3.0,3.0,1.0,1.0,1690.0,14800000.0,"Boro Maghbazar, Maghbazar",False,True,False,False
A 1330 Square Ft. Apartment Is For Sale At Banasree,3.0,3.0,1.0,1.0,1330.0,7900000.0,"Block B, Banasree",False,True,False,False
An Impressive 1230 Sq Ft Residential Apartment Is Up For Sale In The Center Of East Shewrapara Near To Jheelpar Jame Masjid,3.0,3.0,2.0,1.0,1230.0,7400000.0,"East Shewrapara, Mirpur",False,True,False,False
An Apartment Of 1700 Sq Ft Is Ready For Sale At Uttara,3.0,3.0,7.0,1.0,1700.0,17000000.0,"Sector 7, Uttara",False,True,False,False
"1300 Sq Ft Residential Apartment Is Up For Sale At Uttara, Sector 10",3.0,3.0,6.0,1.0,1300.0,8000000.0,"Sector 10, Uttara",False,True,False,False
A Convenient 1175 Sq Ft Residential Apartment Is Prepared For Sale At South Pirerbag,3.0,2.0,6.0,1.0,1175.0,6300000.0,"Pirerbag, Mirpur",False,True,False,False
"In East Monipur , 1265 Square Feet Apartment Is For Sale.",3.0,3.0,6.0,1.0,1265.0,8500000.0,"East Monipur, Mirpur",False,True,False,False
"Residential Apartment For Sale in Tipu Sultan Road, Middle Pirerbag",3.0,2.0,7.0,1.0,1000.0,5700000.0,"Pirerbag, Mirpur",False,True,False,False
A Delightful Apartment Of 1554 Sq Ft Is Ready For Sale In A Great Location Of Pallabi,3.0,3.0,1.0,1.0,1554.0,11500000.0,"Pallabi, Mirpur",False,True,False,False
1570 Sq Ft Flat For Sale In Imandipur Road near Imandipur Government Primary School,3.0,3.0,8.0,1.0,1570.0,5600000.0,"Imandipur, Savar",False,True,False,False
Visit This Apartment For Sale In East Monipur Near Life Aid Specialized Hospital Pvt. Ltd.,3.0,2.0,5.0,1.0,1050.0,4500000.0,"East Monipur, Mirpur",False,True,False,False
Check This Nice 815 Sq Ft Flat For Sale At East Monipur Nearby Monipur Baitur Rowshon Jame Masjid,2.0,2.0,6.0,1.0,815.0,4200000.0,"East Monipur, Mirpur",False,True,False,False
Stunning 2553 Square Feet Apartment For Sale In Uttara 5,4.0,5.0,7.0,1.0,2553.0,38000000.0,"Sector 5, Uttara",False,True,False,False
Commodious 1590 Sq Ft Flat For Sale In Banasree,3.0,3.0,6.0,1.0,1590.0,11200000.0,"Block B, Banasree",False,True,False,False
"2000 Sq Ft Flat For Sale In Banasree, Block A",4.0,4.0,4.0,1.0,2000.0,21500000.0,"Block A, Banasree",False,True,False,False
"Grab This 800 Square Feet Apartment For Sale In Bashundhara, Block J",2.0,2.0,4.0,1.0,800.0,8600000.0,"Block J, Bashundhara R-A",False,True,False,False
We Are Offering You A Very Spacious 1960 Sq Ft Flat For Sale In Gulshan 1,3.0,4.0,3.0,1.0,1960.0,39000000.0,"Gulshan 1, Gulshan",False,True,False,False
Valuable 1705 Square Feet Apartment Is Ready To Sale In Kalabagan,3.0,3.0,1.0,1.0,1705.0,16900000.0,"Lake Circus Road, Kalabagan",False,True,False,False
1370 square feet apartment is ready to sale in Shukrabad,3.0,3.0,6.0,1.0,1370.0,12500000.0,"Shukrabad, Dhanmondi",False,True,False,False
"2125 Square Feet Apartment For Sale In Bashundhara R-a, Block L",3.0,3.0,4.0,1.0,2125.0,20000000.0,"Block L, Bashundhara R-A",False,True,False,False
Buy This 2687 Square Feet Flat In The Nice Area Of Banani,3.0,3.0,4.0,1.0,2687.0,47500000.0,"Road No 25, Banani",False,True,False,False
Modern 1150 Sq Ft Flat For Sale In Badda,3.0,3.0,3.0,1.0,1150.0,8800000.0,"Middle Badda, Badda",False,True,False,False
"2119 Sq Ft Apartment For Sale In Bashundhara R-a, Near North South University",3.0,3.0,8.0,1.0,2119.0,19000000.0,"Block B, Bashundhara R-A",False,True,False,False
Live A Restful Life In This 2318 Square Feet Flat For Sale In Bashundhara R-a,4.0,4.0,2.0,1.0,2318.0,23000000.0,"Block D, Bashundhara R-A",False,True,False,False
Worthy 1397 Sq Ft Nice Flat Is Ready For Sale At Demra,3.0,3.0,8.0,1.0,1397.0,8000000.0,"Matuail, Demra",False,True,False,False
Offering You 2400 Sq Ft Flat For Sale In Aftab Nagar,3.0,3.0,1.0,1.0,2400.0,20000000.0,"Block H, Aftab Nagar",False,True,False,False
1300 Square Feet Residential Flat With Nicely Built Rooms Is Up For Sale In Shyampur,3.0,3.0,3.0,1.0,1300.0,8000000.0,"West Dolairpar, Shyampur",False,True,False,False
Nice 1300 Sq Ft Flat Is Available For Sale In Shyampur,3.0,3.0,4.0,1.0,1300.0,8000000.0,"West Dolairpar, Shyampur",False,True,False,False
1300 Sq Ft Flat Is Now Vacant For Sale In Shyampur,3.0,3.0,6.0,1.0,1300.0,8000000.0,"West Dolairpar, Shyampur",False,True,False,False
1900 Sq Ft Residential Duplex Property Is Now For Sale Which Is In Bashundhara R-a,3.0,3.0,1.0,1.0,1900.0,21000000.0,"Block B, Bashundhara R-A",False,True,False,False
Property In Aftab Nagar– 1500 Sq Ft Flat For Sale,3.0,3.0,5.0,1.0,1500.0,11000000.0,"Block H, Aftab Nagar",False,True,False,False
Uttara Is Offering You A 1450 Sq Ft Residential Apartment Up For Sale,3.0,3.0,3.0,1.0,1450.0,9500000.0,"Sector 10, Uttara",False,True,False,False
Offering you 750 SQ FT flat for sale in Uttara 10,2.0,2.0,2.0,1.0,750.0,6200000.0,"Sector 10, Uttara",False,True,False,False
Visit This 2343 Sq Ft Flat For Sale In Uttara Sector 6.,3.0,3.0,4.0,1.0,2343.0,22000000.0,"Sector 6, Uttara",False,True,False,False
"1350 Sq Ft Flat Sale In Free School Street Road, Kathalbagan",3.0,3.0,2.0,1.0,1350.0,14200000.0,"Free School Street, Kathalbagan",False,True,False,False
Comfortable Flat Is Up For Sale In Pallabi Nearby City Club Ground,3.0,3.0,5.0,1.0,1200.0,7500000.0,"Pallabi, Mirpur",False,True,False,False
"Picture Yourself, Residing In This Well Constructed And Planned 2045 Sq Ft Apartment In Uttara-7, For Sale",3.0,3.0,1.0,1.0,2045.0,23625000.0,"Sector 7, Uttara",False,True,False,False
Offering 1500 Sq Ft Flat For Sale In Niketan,3.0,3.0,1.0,1.0,1500.0,25000000.0,"Block C, Niketan",False,True,False,False
Pleasant 1410 Sq Ft Residential Apartment For Sale In Shantinagar,3.0,3.0,4.0,1.0,1410.0,13800000.0,"Vashani Goli, Shantinagar",False,True,False,False
A Standard Lifestyle Is Awaiting You In This 650 Square Feet Flat Up For Sale In Sutrapur,2.0,2.0,5.0,1.0,650.0,4000000.0,"Gandaria, Sutrapur",False,True,False,False
